名句ID,名句内容
9bbec11faf5c66db,人生如逆旅，我亦是行人。
c9e234218b9cbf9b,醉后不知天在水，满船清梦压星河。
382c2c0895d57229,人生若只如初见，何事秋风悲画扇。
868502fcea4b8726,山有木兮木有枝，心悦君兮君不知。
8e8a5f933ab42d04,晓看天色暮看云，行也思君，坐也思君。
d7bcf62ea6d63066,休对故人思故国，且将新火试新茶。诗酒趁年华。
402518ac8a299dae,曾经沧海难为水，除却巫山不是云。
8e2cf662057e174a,最是人间留不住，朱颜辞镜花辞树。
9016013cc58e2405,我见青山多妩媚，料青山见我应如是。
54c2040fe487ec28,愿我如星君如月，夜夜流光相皎洁。
44464dd84f6285ce,欲买桂花同载酒，终不似，少年游。
2d03cd5ae5c4c083,满堂花醉三千客，一剑霜寒十四州。
205706bb59a56dfb,时人不识凌云木，直待凌云始道高。
9d034d5a6086911d,入我相思门，知我相思苦。
cbfc9f53ba1024e2,十年生死两茫茫，不思量，自难忘。
dadda66d89e05e24,君埋泉下泥销骨，我寄人间雪满头。
7a1cd18183acb6e7,应是天仙狂醉，乱把白云揉碎。
67adb1d6b71e016c,桃李春风一杯酒，江湖夜雨十年灯。
d5367747ca195287,人生自是有情痴，此恨不关风与月。
f743c1cdf29e0692,云想衣裳花想容，春风拂槛露华浓。
4345f73143475c19,玲珑骰子安红豆，入骨相思知不知。
ca8cc9920d0d1587,今人不见古时月，今月曾经照古人。
85f6eed2380b0675,雨打梨花深闭门，忘了青春，误了青春。
c122e4483c9a3c20,粗缯大布裹生涯，腹有诗书气自华。
e192216233afa2cb,青山一道同云雨，明月何曾是两乡。
aeb3d17262e67726,春风得意马蹄疾，一日看尽长安花。
d0c176040bd3d382,莫道桑榆晚，为霞尚满天。
4f50f256bd8c87c9,春宵一刻值千金，花有清香月有阴。
e0f82357173de868,人生到处知何似，应似飞鸿踏雪泥。
2fce7c0774b0f4fc,宁可枝头抱香死，何曾吹落北风中。
570cf4d97deebb01,只愿君心似我心，定不负相思意。
70757e8ef500a4ff,我是人间惆怅客，知君何事泪纵横，断肠声里忆平生。
f764279a91e7c6ef,平生不会相思，才会相思，便害相思。
3cb0f024839f5edf,大鹏一日同风起，扶摇直上九万里。
fc7090bbe13f9cc1,两情若是久长时，又岂在朝朝暮暮。
3daf0255ed02a9b7,人间有味是清欢。
464ea8eac34c2544,若教眼底无离恨，不信人间有白头。
4e4a0510c43bd724,自在飞花轻似梦，无边丝雨细如愁。
7e5f7c61e791d180,山月不知心里事，水风空落眼前花，摇曳碧云斜。
2a348b2b5360c9ff,人面不知何处去，桃花依旧笑春风。
76036f10eddf51da,从此无心爱良夜，任他明月下西楼。
0d92b22b9d31c9b1,众里寻他千百度。蓦然回首，那人却在，灯火阑珊处。
e207e7c8dd2cefd9,小舟从此逝，江海寄余生。
dd8752e572a05ed6,山无陵，江水为竭，冬雷震震，夏雨雪，天地合，乃敢与君绝。
03821d5edce47383,似此星辰非昨夜，为谁风露立中宵。
039895003d5ac50d,身无彩凤双飞翼，心有灵犀一点通。
324eb0ef220622ae,仰天大笑出门去，我辈岂是蓬蒿人。
46d3d9bf88326509,伤心桥下春波绿，曾是惊鸿照影来。
d41a1cd734f6c1de,行到水穷处，坐看云起时。
8ac34fc16a53047f,梨花院落溶溶月，柳絮池塘淡淡风。
74d77146dff0dc9e,林花谢了春红，太匆匆。无奈朝来寒雨晚来风。
9b6779b513dfc301,世间无限丹青手，一片伤心画不成。
1a4e10e1849403cd,浮云一别后，流水十年间。
e7925eb6887d65d7,疏影横斜水清浅，暗香浮动月黄昏。
9ba233b38b201149,为天地立心，为生民立命，为往圣继绝学，为万世开太平。
0193838a43bd1436,人生天地间，忽如远行客。
970ddd55e386c718,夜月一帘幽梦，春风十里柔情。
6a969afe0210d690,知我者，谓我心忧；不知我者，谓我何求。
9c6f80a1fcc5c4b4,渐行渐远渐无书，水阔鱼沉何处问。
535651a3862c0bb4,纸上得来终觉浅，绝知此事要躬行。
bf3a90d7cc9fa5d1,被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。
a44fcb13259e1e17,年年岁岁花相似，岁岁年年人不同。
aa3c1097a7a60cfe,一声梧叶一声秋，一点芭蕉一点愁，三更归梦三更后。
85382ddcd24cdf56,抽刀断水水更流，举杯消愁愁更愁。
759d573d92d3cfb7,花自飘零水自流。一种相思，两处闲愁。
01eeab2ce43ee7d8,须知少日拏云志，曾许人间第一流。
6c3a847f144b1c6c,夫天地者万物之逆旅也；光阴者百代之过客也。
879121bca625e59d,溪云初起日沉阁，山雨欲来风满楼。
43d801c7495ab330,我有一瓢酒，可以慰风尘。
b65709b686b4f968,少年不识愁滋味，爱上层楼。爱上层楼，为赋新词强说愁。
05f833cc5208007b,取次花丛懒回顾，半缘修道半缘君。
9e20da5234b8260b,待到秋来九月八，我花开后百花杀。
a7c41b9998e20bfc,不经一番寒彻骨，怎得梅花扑鼻香。
326e1f26d9b66aeb,昨夜西风凋碧树，独上高楼，望尽天涯路。
9b7636eaced2b5e6,人生只似风前絮，欢也零星，悲也零星，都作连江点点萍。
557c3b08023dd1aa,南风知我意，吹梦到西洲。
4c4b669d556b8176,世事漫随流水，算来一梦浮生。
12acb5a769cd0087,殷勤昨夜三更雨，又得浮生一日凉。
3161765837cef03e,人似秋鸿来有信，事如春梦了无痕。
798611e2d6ed02cd,山不在高，有仙则名。水不在深，有龙则灵。
2dc00f345a3fdf1e,衣带渐宽终不悔，为伊消得人憔悴。
1a62acee5c52680b,一点浩然气，千里快哉风。
f2f04eb529f61694,时光只解催人老，不信多情，长恨离亭，泪滴春衫酒易醒。
3eb65fc2826ebbf3,逢人不说人间事，便是人间无事人。
e6087d78e33474cb,怕相思，已相思，轮到相思没处辞，眉间露一丝。
93fe59d0b0099365,愿得一心人，白头不相离。
62c5fcf9480543f8,此心安处是吾乡。
097a81d073121c89,世事短如春梦，人情薄似秋云。
a1312e634c53ffeb,一日不见兮，思之如狂。
