作者ID,姓名,简介
20fdc8052accfa0f,苏轼,苏轼，北宋文学家、书画家。字子瞻，号东坡居士。其文汪洋恣肆，诗词豪放洒脱，书画造诣颇高，为唐宋八大家之一。
abd1c0467a429725,唐珙,唐珙，字温如，元末明初诗人。其诗风绮丽，才情出众，所作《题龙阳县青草湖》等颇为后世传颂，却生平资料留存甚少。
23c0589212945272,纳兰性德,纳兰性德，清代词人，满洲正黄旗人。其词风婉约，情感细腻，多写爱情、友情与对人生的感悟，代表作有《饮水词》等。
6453963910204781,佚名,佚名指身份不明或者尚未了解姓名的人。他们创作了众多作品，涵盖多种体裁，在文化传承等方面发挥着重要作用。
b512647e6bfc6bf2,唐寅,唐寅，字伯虎，号六如居士。明代著名画家、书法家、诗人。才华横溢，诗画俱佳，却仕途坎坷，以卖画为生，作品风格独特。
2e92d630d57b930a,元稹,元稹，唐代诗人、文学家。与白居易并称“元白”，诗作多写爱情、仕途等，其作品在文学史上有重要地位。
d0f9c3482ddf79bb,辛弃疾,辛弃疾，南宋豪放派词人。一生以恢复中原为志，力主抗金。其词题材广阔，风格沉雄豪迈又不乏细腻柔媚。
a6d8a1ee3205c49c,范成大,范成大，南宋诗人、文学家。其诗题材广泛，风格平易浅显、清新妩媚，与杨万里、陆游、尤袤合称南宋“中兴四大诗人”。
7aa4ba2fcda7016f,刘过,刘过，南宋文学家，好游历，以诗、词、文著称。其词风格豪放，与辛弃疾唱和，有《龙洲集》《龙洲词》等作品传世。
e2f5c16b63310f11,贯休,贯休，唐末五代前蜀画僧、诗僧。俗姓姜，字德隐，婺州兰溪人。工诗善画，其诗风格奇崛，画作亦有独特风貌。
dfc1cfc293757d00,杜荀鹤,杜荀鹤，唐代诗人。其诗多反映社会现实与民生疾苦，风格质朴通俗，语言明快有力，有《唐风集》等作品传世。
293040fc607f40ca,李白,李白，字太白，号青莲居士，唐代伟大诗人。其诗风豪放飘逸、意境奇妙，一生渴望入仕却仕途坎坷，留下众多经典诗作。
5d7e379ac8cd6289,白居易,白居易，字乐天，号香山居士。唐代伟大的现实主义诗人，其诗题材广泛，形式多样，语言平易通俗，有《白氏长庆集》传世。
c35572fca237617b,黄庭坚,黄庭坚，字鲁直，号山谷道人，北宋著名文学家、书法家。其诗风独特，书法自成一家，在文学艺术领域成就颇高。
81d0662f476a4886,欧阳修,欧阳修，北宋文学家、史学家。字永叔，号醉翁、六一居士。领导北宋诗文革新运动，散文成就高，诗词亦佳，著有《欧阳文忠公集》等。
274513e0ef9d9d11,温庭筠,温庭筠，唐代诗人、词人。才思敏捷，工诗，与李商隐齐名，为“温李”。词多写闺情，词风秾丽，是花间派鼻祖。
dd5d4c33d8c4c12a,王昌龄,王昌龄，唐代著名边塞诗人。其诗以七绝见长，气势雄浑，格调高昂，多写边塞生活，有“诗家夫子王江宁”之誉。
40b647076ee1d275,孟郊,孟郊，唐代诗人。一生坎坷，仕途不顺。其诗作多写世态炎凉、民间疾苦，风格古朴凝重，以苦吟著称，有“诗囚”之称。
a35aad4bb88e02e2,刘禹锡,刘禹锡，唐代文学家、哲学家。其诗风豪迈，有“诗豪”之称。一生坎坷，仕途不顺，但文学成就颇高，代表作有《陋室铭》等。
7ed2da0d1c2553c6,郑思肖,郑思肖是宋末元初诗人、画家，宋亡后隐居苏州，坐卧必向南，自号所南，善画墨兰，其诗多伤时感事之作。
a2c9143b08ee3e71,李之仪,李之仪，北宋词人。其词以清婉秀丽见长，多写男女之情。仕途坎坷，著有《姑溪居士文集》等，作品在词坛有一定地位。
d4c00df8a751e1e3,徐再思,徐再思，字德可，号甜斋，元代散曲家。其作品多写男女之情、相思之苦，风格清新秀丽，语言工巧。
2af0e74c74481fc3,秦观,秦观为北宋婉约派词人，字少游、太虚，号淮海居士。其词风婉约细腻，情感真挚，代表作有《鹊桥仙·纤云弄巧》等。
b3d0ab90d716e45f,崔护,崔护，唐代诗人。其诗风精练婉丽，语极清新。以《题都城南庄》闻名，该诗情意真挚，广为流传。
4c6293d09f74fbdb,李益,李益，唐代诗人。其诗音律和美，韵味悠长。尤擅边塞诗，风格豪放明快。仕途坎坷，作品反映诸多人生经历与情感。
692a943572a316d4,黄景仁,黄景仁，清代诗人，家境贫困，一生坎坷。其诗多抒发穷愁不遇、寂寞凄怆之情，风格独特，有《两当轩集》传世。
0f2226dc96ffd389,李商隐,李商隐，字义山，号玉溪生。晚唐著名诗人，其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，广为传诵。
07d9cc211bb0b828,陆游,陆游，南宋爱国诗人。一生渴望收复失地，其诗作题材广泛，风格豪放悲壮，留存九千余首，展现深厚爱国情怀与文学造诣。
a374097275e57303,王维,王维，字摩诘，唐代诗人、画家。其诗多咏山水田园，风格清新淡雅，又通音乐、书画，诗画成就颇高，被赞“诗中有画，画中有诗” 。
49d2403b99d6845a,晏殊,晏殊，北宋著名文学家、政治家。十四岁以神童入试，赐同进士出身，官至宰相。其词工于造语，温润秀洁，有《珠玉词》等。
e188a71cb7b7a92b,李煜,李煜，南唐末代君主，善诗文、工书画、通音律。在位时生活奢华，国亡后被囚，词作多写亡国之痛，情感真挚深沉。
9326358349a8556b,高蟾,高蟾，唐代诗人。生卒年不详，家贫，累举不第。其诗多感事伤怀，风格悲慨，如《金陵晚望》等，在晚唐诗坛有一定地位。
7595c7235c6fc8f1,韦应物,韦应物是唐代诗人，曾任多种官职。其诗多写山水田园，风格恬淡高远，语言简淡，意境清幽，有《韦苏州集》传世。
1f56ff157a1eedf1,林逋,林逋，北宋著名隐逸诗人。性孤高自好，喜恬淡，终生不仕不娶，隐居西湖孤山，以梅为妻，以鹤为子，有“梅妻鹤子”之称。
cf7b79488dd4aa74,北宋·张载,北宋思想家、教育家张载，世称横渠先生。其学以“气”为核心，著有《正蒙》等，创立关学，对后世影响深远。
be89ad4965eef177,刘希夷,刘希夷为初唐诗人，善写闺情，其诗辞藻华丽，韵律和谐。代表作有《代悲白头翁》等，才华出众却命运坎坷。
7ed6717fdf5af955,李清照,李清照，宋代女词人，婉约派代表。才情出众，词作多写闺情相思、生活感悟。前期清新明快，后期沉郁哀婉，其作影响深远。
06e2596a2748b93b,吴庆坻,吴庆坻，晚清官员、学者。光绪十二年进士，授编修，官至四川布政使。工诗，有《悔余生诗钞》等著作。
a057a723af7a8839,许浑,许浑，唐代诗人。其诗作多写水，尤擅律体，风格清新自然，以《咸阳城东楼》等为代表，在唐代诗坛颇具影响力。
c350f72ba6fe0941,黄巢,黄巢是唐末农民起义领袖，出身盐商家庭，善骑射，喜任侠。他领导的起义沉重打击了唐朝统治，曾建立大齐政权。
5d6eba760e3dc74a,黄櫱禅师,黄�禅师唐代高僧，幼于本州黄檗山出家，得法于百丈怀海，以禅法机锋峻烈著称，其禅学影响深远。
25d74e4430543e10,柳永,柳永，北宋著名词人，婉约派代表人物。其词多写羁旅之愁与相思之情，善用铺叙，音律谐婉，流传甚广。
0069df8ad565c23a,俞彦,俞彦，明代诗人、词人。万历二十九年进士，历官光禄寺少卿。长于词，尤工小令，以淡雅见称，有《爰园词话》等著作。
8a766abf8f9b3866,朱敦儒,朱敦儒是宋代著名词人，一生辗转，早年隐居，后出仕，词风豪放旷达，有《樵歌》等作品流传。
34a1d5c4f2332be8,司马相如,司马相如是西汉辞赋家，其作品辞藻富丽、结构宏大。代表作有《子虚赋》《上林赋》等，对汉赋发展影响深远。
d8142b95f3936281,元好问,元好问，字裕之，号遗山，金末元初著名文学家、历史学家。其诗词风格沉郁顿挫，编有《中州集》等。
74615bbec31f4c93,志南,志南是南宋诗僧，能诗文，其作品多写自然景色与闲适生活，风格清新自然，代表作有《绝句·古木阴中系短篷》等。
372613e0fcb3fa2e,李贺,李贺，唐宗室后裔，早慧能诗，仕途坎坷。其诗作多以神话传说、鬼怪灵异为题材，风格独特，有“诗鬼”之称。
256542c71e1f8888,翁宏,翁宏，五代十国时期诗人。其诗作多写闺情，辞工句丽，然流传作品较少，《春残》等为其代表作。
c5ddc3dafd8a70e2,岑参,岑参，唐代诗人。其诗题材广泛，尤擅边塞诗，风格奇峻壮阔，语言瑰丽，展现出独特的艺术魅力，对后世影响深远。
c6996ea7185b5fbc,王观,王观，北宋词人，字通叟，如皋人。其词风格清新自然，有《冠柳集》等作品传世，在北宋词坛有一定地位。
9d53b358023ab9aa,高适,高适，字达夫，唐代边塞诗人。其诗多反映边塞生活及征战场景，风格雄浑悲壮，与岑参并称“高岑”。
2fce5d6cc34e3a00,刘长卿,刘长卿，唐代诗人。工于五言，自称“五言长城”。其诗多写政治失意之感，也有反映离乱生活之作，风格含蓄温和。
4452f72e28bfb343,骆宾王,骆宾王，唐代诗人。七岁能诗，才思敏捷。其诗作题材广泛，尤擅七言歌行，与王勃、杨炯、卢照邻并称“初唐四杰”。
d2585b620ce6a400,荀子,荀子，名况，战国末期赵国人。著名思想家、文学家、政治家，先秦儒家代表人物之一，其思想对后世影响深远。
e157ec38c2d129b1,宋濂,宋濂是元末明初著名政治家、文学家、史学家、思想家。他自幼好学，学识渊博，为明朝开国文臣之首，被朱元璋誉为“开国文臣之首”。
